author,book,records
Динис Бүләков,Динис_Бүләков_Иң_оҙон_төн_Радиоспектакль_2_се_тапшырыу,1
Динис Бүләков,Динис_Бүләков_Иң_оҙон_төн_Радиоспектакль_3_сө_тапшырыу,1
Динис Бүләков,"Динис_Бүләков_Йәшен_атҡан_имән_Әхәт_Мортазин_уҡый,_2009",1
Динис Бүләков,"Динис_Бүләков_Намыҫ_менән_осрашыу_Фәиз_Вәхитов_уҡый,_1971",1
Динис Бүләков,"Динис_Бүләков_Эҫе_ҡар_1_се_тапшырыу_Заһир_Вәлитов_уҡый,_1999",1
Динис Бүләков,"Динис_Бүләков_Эҫе_ҡар_2_се_тапшырыу_Заһир_Вәлитов_уҡый,_1999",1
Динис Бүләков,"Динис_Бүләков_Эҫе_ҡар_3_сө_тапшырыу_Заһир_Вәлитов_уҡый,_1999",1
Динис Бүләков,"Динис_Бүләков_Ғүмерһеҙ_йондоҙ_Олег_Ханов_уҡый,_1981",1
Динис Исламов,"Динис_Исламов_Һуңлаған_үкенеү_Илсур_Хәбиров_уҡый,_1997",1
Дәүләт Мәһәҙиев,"Дәүләт_Мәһәҙиев_Яҙмыш_ҡәләмдәрен_ҡулға_алып_1,2_се_өлөш_Әхәт_Мортазин",1
Дәүләт Мәһәҙиев,"Дәүләт_Мәһәҙиев_Яҙмыш_ҡәләмдәрен_ҡулға_алып_3,4_се_өлөш_Әхәт_Мортазин",1
Ева Лисина,Ева_Лисина_Бер_телем_икмәк_Нурия_Ирсаева_менән_Алһыу_Бәхтиева_уҡый,1
Евгений Пермяк,"Евгений_Пермяк_Әсәй_һәм_беҙ_Мәхмүт_Хәбибуллин_уҡый,_1977",1
Елена Коненко,"Елена_Коненко_Летчик_ҡатыны_Нурия_Ирсаева,_Олег_Ханов,_Зәйни_Иғдәүләтов",1
З.Исмәғилев ис.Өфө дәүләт сәнғәт институты студенттары башҡарыуында 2014 йылғы яҙма,З_Исмәғилев_ис_Өфө_дәүләт_сәнғәт_институты_ст_Көн_һәм_быуат_Әҙәби,1
Зарема Әхмәтйәнова,Зарема_Әхмәтйәнова_Сәңгелдәк_повесы_1_се_өлөш_Светлана_Хәкимова,1
Зарема Әхмәтйәнова,Зарема_Әхмәтйәнова_Сәңгелдәк_повесы_2_се_өлөш_Светлана_Хәкимова,1
Зарема Әхмәтйәнова,Зарема_Әхмәтйәнова_Сәңгелдәк_повесы_3_сө_өлөш_Светлана_Хәкимова,1
Зилә Дибаева уҡыуында 2013 йылғы яҙма,Зилә_Дибаева_уҡыуында_2013_йылғы_яҙма_Юмористик_хикәйәләр_Миләүшә,1
Зиннур Ураҡсин,"Зиннур_Ураҡсин_Ситса_күлдәк_Илдар_Ғүмәров_уҡый,_2009",1
Зифа Ишмурзина,Зифа_Ишмурзина_Яҙмыш_ҡуйынында_аудиокитап_,1
Зифа Ҡадырова,"Зифа_Ҡадырова_Һағынырһың,_мин_булмам_1_се_өлөш_Илһөйәр_Ғәзет",1
Зифа Ҡадырова,"Зифа_Ҡадырова_Һағынырһың,_мин_булмам_2_се_өлөш_Илһөйәр_Ғәзет",1
Зифа Ҡадырова,"Зифа_Ҡадырова_Һағынырһың,_мин_булмам_3_се_өлөш_Илһөйәр_Ғәзет",1
Зифа Ҡадырова,"Зифа_Ҡадырова_Һағынырһың,_мин_булмам_5_се_өлөш_Илһөйәр_Ғәзет",1
Зифа Ҡадырова,"Зифа_Ҡадырова_Һағынырһың,_мин_булмам_6_сы_өлөш_Илһөйәр_Ғәзет",1
Зифа Ҡадырова,"Зифа_Ҡадырова_Һағынырһың,_мин_булмам_7_се_өлөш_Илһөйәр_Ғәзет",1
Зыя Әхмәтов,"Зыя_Әхмәтов_Һуҡмаҡтар_Илшат_Йомағолов_уҡый,_1977",1
Зөбәржәт Йәнбирҙина,"Зөбәржәт_Йәнбирҙина_Хирург_Миңзәлә_Хәйруллина_уҡый,_2013",1
Зөлфирә Ҡаҙаҡбаева,"Зөлфирә_Ҡаҙаҡбаева_Атай_йорто_Илһөйәр_Ғизетдинова_уҡый,_2008",1
Зөлфирә Ҡаҙаҡбаева,"Зөлфирә_Ҡаҙаҡбаева_Бәддоға_уҡымайым_Алһыу_Бәхтиева_уҡый,_2014",1
Зөлфирә Ҡаҙаҡбаева,"Зөлфирә_Ҡаҙаҡбаева_Көтөү_Илсөйәр_Ғәзетдинова_уҡый,_2008",1
Зөһрә Бураҡаева,"Зөһрә_Бураҡаева_Матур_кешекәйҙәр,_1_се_бүлек_Илсөйәр_Ғәзетдинова",1
Зөһрә Бураҡаева,"Зөһрә_Бураҡаева_Матур_кешекәйҙәр,_2_се_бүлек_Илсөйәр_Ғәзетдинова",1
Зөһрә Усманова,"Зөһрә_Усманова_Йөрәк_яраһы,_1_се_бүлек_Нурия_Ирсаева_уҡый,_20",1
Зөһрә Усманова,"Зөһрә_Усманова_Йөрәк_яраһы,_2_се_бүлек_Нурия_Ирсаева_уҡый,_20",1
Зөһрә Усманова,"Зөһрә_Усманова_Йөрәк_яраһы_Нурия_Ирсаева_уҡый,_2012",1
Ибраһим Абдуллин,"Ибраһим_Абдуллин_Ҡояш_байымай_ҙа,_байымай_Әхәт_Мортазин_уҡ",1
Ибраһим Абдуллин,"Ибраһим_Абдуллин_Ҡояш_байымай_ҙа,_байымай_Әхәт_Мортазин_уҡый,_1992",1
Ибраһим Ғиззәтуллин,"Ибраһим_Ғиззәтуллин_Булат_ҡоросо_Хәким_Хәйретдинов_уҡый,_1971",1
Илгиз Ғимранов,"Илгиз_Ғимранов_Ҡойма_Әхәт_Мортазин,_Фәрүәз_Урманшин_һәм_Зилә_Дибаева",1
Илгизәр Бураҡаев,"Илгизәр_Бураҡаев_Башҡорт_көсө_Әхәт_Мортазин_уҡый,_1997",1
"Илдар Ғүмәров, Зилә Дибаева уҡый.","Илдар_Ғүмәров,_Зилә_Дибаева_уҡый_Әлиә_Саматова_Баҫҡыста_хикәйәһе",1
Илшат Йомағолов уҡый,Илшат_Йомағолов_уҡый_Далаларҙа_Икмәк_еҫе_,1
Иршат Теләүембәтов,"Иршат_Теләүембәтов_Егетлек_Ғаяз_Алтыншин_уҡый,_1993",1
Йыһат Солтанов,"Йыһат_Солтанов_Ыласыным_Әхәт_Мортазин_уҡый,_2011",1
Йыһат Солтанов,"Йыһат_Солтанов_Ҡотлобикә_Әхәт_Мортазин_уҡый,_2011",1
Йыһат Солтанов,"Йыһат_Солтанов_Һыйыр_тураһында_йыр_Әхәт_Мортазин_уҡый,_2011",1
Йәлил Басаков,"Йәлил_Басаков_Көлгә_ҡалған_күңел_Марат_Рафиҡов_уҡый,_1980",1
Камил Йыһаншин,"Камил_Йыһаншин_Ялбыр_Хөрмәт_Үтәшев_уҡый,_1998",1
Камил Яйыҡбаев,"Камил_Яйыҡбаев_Байтал_Әхәт_Мортазин_уҡый,_1996",1
Карам Бакиров,"Карам_Бакиров_Ике_дуҫ_Сафура_Аҫылбаева_уҡый,_1974",1
Кәтибә Кинйәбулатова,"Кәтибә_Кинйәбулатова_Клара_Нурия_Ирсаева_уҡый,_1990",1
Лариса Абдуллина,"Лариса_Абдуллина_Мәтрүшкәле_сәй_Светлана_Хәкимова_уҡый,_2014",1
Лариса Абдуллина,"Лариса_Абдуллина_Әсә_йәне_Светлана_Хәкимова_уҡый,_2008",1
Линиза Шакирова,"Линиза_Шакирова_Һыныҡ_Рәмзил_Сәлмәнов_уҡый,_2016",1
Лира Яҡшыбаева.,"Лира_Яҡшыбаева_,,Мөжәүир_хәҙрәт,,_",1
М.Ғафури ис.БДАДТ актерҙары башҡарыуында 1986 йылғы яҙма.,Динис_Бүләков_Упҡын_ситендә_бейеү,1
Мансаф Ғиләжев,"Мансаф_Ғиләжев_Шәл_Илһөйәр_Ғизетдинова,_Илдар_Ғүмәров_һәм_Әхәт_Мортазин",1
Мансаф Ғиләжев,"Мансаф_Ғиләжев_Яҙмышҡа_үҙең_хужа,_радиоочерк_Наилә_Ғәләүетдинова",1
Марат Рафиҡов уҡыуында 1988 йылғы яҙма.,Марат_Рафиҡов_уҡыуында_1988_йылғы_яҙма_Лев_Кассиль_Осрашыу_М_Рафиҡов,1
Марат Тулыбаев,"Марат_Тулыбаев_Ҡурай_Хәмит_Яруллин_уҡый,_1988",1
Марс Әхмәтшин,"Марс_Әхмәтшин_Гөлйемеш_Әхәт_Мортазин_уҡый,_1989",1
Марс Әхмәтшин,"Марс_Әхмәтшин_Ни_эшләнең_һин,_Инсаф_Марат_Рафиҡов_уҡый,_1997",1
Миләүшә Ғәйфуллина,"Миләүшә_Ғәйфуллина_Күңел_күҙе_Алһыу_Бәхтиева_уҡый,_2011",1
Миләүшә Ғәйфуллина .,"Миләүшә_Ғәйфуллина_Тәмләнде_,_юмореска_Алһыу_Бәхтиева_уҡый_",1
Минеғәле Яҡупов,"Минеғәле_Яҡупов_Һуғыштан_һуң_Наилә_Ғәләүетдинова_уҡый,_1995",1
Минйыһан Хәмитова,"Минйыһан_Хәмитова_Үс_Фирҙәт_Ғәлиев_уҡый,_1998",1
Минйыһан Хәмитова,"Минйыһан_Хәмитова_Үс_Фирҙәт_Ғәлиев_уҡый,_1998_1",1
Мирас Иҙелбаев,"Мирас_Иҙелбаев_Йыр_дәресе_Зилә_Дибаева_уҡый,_2013",1
Мирас Иҙелбаев,"Мирас_Иҙелбаев_Йыр_дәресе_Зилә_Дибаева_уҡый,_2013_2",1
Мирас Иҙелбаев,"Мирас_Иҙелбаев_Ҡоштар_китә_Илдар_Ғүмәров_уҡый,_2013",1
Михаил Авдеев,Тауҙар,1
Михаил Шолохов,"Михаил_Шолохов_Баҡсасы_Мансур_Әйүпов_тәржемәһе,_Илшат_Йомағолов",1
Миҙхәт Ғәйнуллин,"Миҙхәт_Ғәйнуллин_Разведчик_яҙмалары_1,_2_өлөш_Автор_уҡый,_1995",1
Миҙхәт Ғәйнуллин,"Миҙхәт_Ғәйнуллин_Разведчик_яҙмалары_3_өлөш_Автор_уҡый,_1995",1
